"","D3400/05","D4182/05","D4909/05","D5251/05","D1802/05","D2004/05","D2060/05","D2198/05","D3692/05","D4974/05","D324/06","D516/06","D2470/05","D131/06","D1945/05","D4387/05","D5131/05","D5197/05","D5238/05","D939/06","D2401/05","D2541/05","D3866/05","D2723/05","D2897/05","D3310/05","D3383/05","D4229/05","D5250/05","D14/06","D25/06","D282/06","D2267/05","D794/06","D1143/06","D1777/05","D2347/05","D3302/05","D1699/05","D2588/05","D3802/05","D4003/05","D4294/05","D4325/05","D4326/05","D34/06","D132/06","D775/06","D883/06","D1833/05","D4977/05","D252/06","D1881/05","D2271/05","D2831/05","D3714/05","D3998/05","D4083/05","D5151/05","D895/06","D1126/06","D2520/05","D3542/05","D3584/05","D4557/05","D1080/06","D2597/05","D3363/05","D3493/05","D3520/05","D4399/05","D4477/05","D308/06","D384/06","D1587/05","D2223/05","D2467/05","D977/06","D2046/05","D2203/05","D3687/05","D4115/05","D4754/05","D5303/05","D5349/05","D5382/05","D5386/05","D431/06","D1043/06","D1595/05","D1716/05","D3890/05","D3893/05","D4383/05","D5387/05","D133/06","D1102/06","D3879/05","D4737/05","D5381/05","D36/06","D918/06","D1130/06","D3616/05","D5297/05","D5323/05","D887/06","D2090/05","D4055/05","D271/06","D2013/05","D2896/05","D3252/05","D3820/05","D4677/05","D425/06","D1903/05","D4813/05","D137/06","D454/06","D1726/05","D1954/05","D2018/05","D3380/05","D3690/05","D4499/05","D436/06","D1949/05","D2156/05","D2592/05","D2835/05","D4936/05","D711/06","D743/06","D1068/06","D3060/05","D3837/05","D4392/05","D1635/05","D2128/05","D2383/05","D4654/05","D1614/05","D2551/05","D2803/05","D3860/05","D4051/05","D603/06","D1717/05","D1811/05","D2775/05","D3622/05","D4053/05","D4106/05","D5177/05","D5281/05","D217/06","D654/06","D1818/05","D2021/05","D3642/05","D4449/05","D837/06","D931/06","D2989/05","D4250/05","D689/06","D1039/06","D3142/05","D4606/05","D78/06","D435/06","D2417/05","D2594/05","D3053/05","D3526/05","D3544/05","D3736/05","D4149/05","D5155/05","D254/06","D288/06","D4084/05","D4605/05","D4948/05","D5179/05","D5227/05","D5257/05","D214/06","D375/06","D2135/05","D2653/05","D3284/05","D4673/05","D5027/05","D668/06","D994/06","D2325/05","D2828/05","D2914/05","D2934/05","D3061/05","D4546/05","D1166/06","D2969/05","D3680/05","D3688/05","D3705/05","D3872/05","D4082/05","D4432/05","D2548/05","D4390/05","D4490/05","D4826/05","D624/06","D2020/05","D5107/05","D840/06","D1704/05","D2280/05","D2348/05","D2529/05","D2655/05","D3241/05","D4132/05","D4207/05","D5391/05","D671/06","D926/06","D1091/06","D1795/05","D1929/05","D2207/05","D3613/05","D4340/05","D4409/05","D5144/05","D463/06","D605/06","D2675/05","D3347/05","D3807/05","D4735/05","D4963/05","D879/06"
"1","15.29579","15.36813","15.39360","15.30095","15.26895","15.22224","15.48014","15.14120","15.10720","15.33331","15.20392","15.24095","15.36289","15.12061","15.24342","15.00583","15.29558","15.29795","15.35672","15.30095","15.32477","15.27883","15.37888","15.25543","15.49804","15.02418","15.18224","15.16015","15.36253","15.26518","15.28984","15.13009","15.26376","15.06008","15.08557","15.34632","15.40384","15.39257","15.37224","15.33368","15.27770","15.19351","15.27207","15.24512","15.05662","15.30834","15.19844","15.11111","15.13241","15.51187","15.29013","15.24911","15.54733","15.49601","15.13887","15.27405","15.48711","15.13965","15.14021","15.09002","15.11738","15.47272","15.12688","15.47991","15.16228","15.37923","15.15122","15.38792","15.43059","15.29161","15.16326","15.41812","15.33494","15.37026","15.21562","14.96720","15.15999","15.29101","15.32356","15.27063","15.24618","15.37323","15.21921","15.21660","15.37242","15.25337","15.53309","15.27418","15.21850","15.35514","15.29515","15.22183","15.36924","15.26129","15.17979","15.29702","15.26424","15.38583","14.81208","15.08312","15.23584","15.32535","15.22632","15.22684","15.13690","15.25496","15.38655","15.45136","15.29765","15.39435","15.31698","15.62821","15.42573","15.23980","15.27002","15.26563","15.44041","15.06601","15.29363","14.56354","15.22541","15.13522","15.31194","15.38232","15.18216","15.37428","15.26113","15.18700","15.30581","15.03403","15.19301","15.29139","15.25273","15.24794","15.29797","15.23758","15.60263","15.12883","15.17593","15.16910","15.03084","15.14680","15.43516","15.08717","15.31381","15.03235","14.99536","15.42920","15.34052","15.29951","15.38968","15.05726","15.24047","14.92691","15.17516","15.25892","15.14637","15.10325","15.07764","15.29863","15.27614","15.28806","14.72764","15.33636","15.41390","15.25047","15.15945","15.12294","15.26355","15.10811","15.27733","14.63130","15.19997","15.30778","15.17003","15.30139","14.95992","15.36509","15.32501","15.34912","14.90525","14.89210","15.55693","15.05406","15.45285","15.39096","14.95007","15.20049","15.09664","15.10360","15.29575","15.25676","15.29912","15.32248","15.40995","15.16846","15.49836","15.44400","15.28631","14.76752","15.32001","15.45327","15.62202","15.30646","15.20541","15.55273","15.28542","15.09499","15.09122","15.50704","15.21905","15.22403","15.27193","15.33053","15.35568","15.21147","15.29722","15.08242","15.24405","15.36038","15.14490","15.22548","15.22801","15.25254","14.80005","15.03660","15.23171","15.32803","15.54015","15.01640","15.31695","15.08087","15.19772","15.19620","14.96881","15.08135","15.27288","15.03285","15.56986","15.37780","15.38249","14.93650","15.25839","15.33247","15.36337","15.47042"
"2","14.10420","14.16691","14.45483","14.65704","14.64511","14.42793","15.30944","15.02714","14.40077","14.31984","14.11471","13.97059","14.48617","13.95458","14.26965","13.83743","14.57651","14.01277","14.15489","14.07701","14.29600","14.35623","14.27164","14.82575","14.71364","14.60834","13.99030","14.11712","14.46984","14.20607","14.14100","14.60355","14.09437","14.76409","14.08185","14.03144","14.44703","14.33830","14.69994","14.56579","14.01292","14.13511","14.12122","14.28873","14.26031","14.16866","14.04398","15.10967","14.35626","13.92399","14.48625","14.03140","14.64485","14.40116","14.49204","14.61446","14.88604","14.59559","14.68934","14.61140","14.00216","14.23405","14.30324","14.77493","14.11044","14.11565","13.77318","14.08828","14.29049","14.04098","14.43828","14.16372","14.52891","14.19410","14.03838","14.05227","14.33287","14.18440","14.66239","14.50221","14.08292","14.29898","15.11288","14.37276","14.14753","14.32985","14.29854","14.80368","13.94670","14.06635","14.01726","13.62483","14.17351","14.26854","14.37370","14.47582","14.25877","14.25214","14.03397","14.50003","14.52097","14.36752","13.99367","14.32789","14.39607","13.98484","14.16635","14.25041","13.72528","14.36121","14.23310","14.48385","14.37874","13.88451","14.14385","14.52692","13.75052","14.50629","14.51012","14.38655","14.08384","15.01176","14.37497","13.99187","14.42841","15.04655","14.95743","14.97092","13.87857","14.04373","14.70241","14.31224","14.35066","13.83770","14.19911","14.29455","14.48511","14.15863","14.53270","14.71551","14.07280","13.99362","14.20442","13.97879","14.33729","14.76992","14.10393","14.36144","14.34284","13.87402","14.48365","13.94560","14.10105","14.48470","14.08442","14.73025","14.74543","15.07650","14.05278","14.50665","14.44154","14.88236","14.51235","14.31408","14.42547","14.25550","14.05620","14.33187","15.06360","14.36348","13.83921","14.38641","14.18093","13.91614","14.65459","13.87036","14.12522","14.16950","14.16707","14.32259","14.16154","14.23373","14.48475","14.85897","14.43613","14.40299","14.20779","14.01699","14.02681","14.81144","14.54097","14.26528","13.94892","14.42509","14.21859","14.19921","14.04454","14.38768","14.20003","14.24140","14.39758","14.20068","14.14565","14.02566","14.08348","14.20331","14.00775","14.05494","13.89596","14.55009","14.71925","14.32434","14.45218","14.71885","14.16042","14.63394","14.22693","14.01014","14.01698","14.07771","14.37228","13.94309","14.58764","14.06367","14.99718","14.70554","14.21709","14.10172","14.75378","14.24179","14.25414","14.16917","14.59138","14.06738","14.62246","14.09938","13.96181","14.09990","14.27839","14.30099","14.88166","14.02033","13.92439","14.21709","14.22169","14.12277"
"12","15.14617","14.69844","14.92204","14.91430","15.18824","14.76718","14.84578","14.58908","14.85182","14.89040","14.77416","14.96537","14.86740","14.83935","14.76236","15.82249","14.80254","14.97240","14.96566","15.07218","14.97173","14.81335","14.67505","15.31822","14.69854","14.83450","14.91932","15.28756","15.04831","14.73534","14.96337","14.68738","15.35096","14.79592","14.75949","14.72490","14.75129","14.80635","14.74509","14.81357","14.95912","15.12470","14.88836","14.89177","15.02287","14.56638","14.80655","14.63787","15.03253","14.82172","14.92567","15.06092","14.90467","14.84943","15.71695","15.09392","15.13631","14.96260","14.77943","14.62834","14.93849","14.79347","14.98074","15.19441","14.58369","15.80097","14.78631","14.73353","15.18241","14.73842","14.68626","15.13080","14.76119","15.00053","14.72107","14.64462","14.93867","14.74186","14.73529","14.91996","14.91196","14.73687","14.83902","15.24007","15.02223","14.87720","15.45848","15.78796","14.90033","15.26337","14.88782","15.04364","14.96061","14.87878","14.95617","14.69629","14.94096","14.97474","14.97150","14.96498","15.00930","14.88200","14.56756","14.87465","15.25172","14.96048","14.81097","14.84045","14.89176","14.74884","14.49647","15.10731","14.90298","14.82127","14.78161","14.99554","15.38286","14.87484","14.94847","14.85311","15.73566","14.70499","14.85363","14.65620","14.89525","14.84753","14.91822","15.08707","15.23456","15.00263","14.77833","15.16752","14.52881","14.66961","14.95772","14.85660","14.95446","15.21299","14.73760","14.81135","14.92691","14.76019","14.90635","15.02726","15.00205","14.74649","15.08694","14.74702","14.93199","14.80784","14.85807","14.92550","14.85776","14.82100","14.98787","14.89137","14.84501","14.79999","14.94327","14.85932","14.97456","14.88719","14.98043","14.97566","15.14946","14.87627","14.73511","14.70152","14.77185","14.75091","15.13090","14.94004","14.87432","15.20282","15.07511","14.93596","14.73485","15.15248","15.18050","15.84039","14.81619","14.98061","14.76748","14.69509","14.90928","14.90102","14.74130","14.90806","14.84061","15.65049","14.83978","14.89659","15.17833","14.84546","15.41544","14.92945","14.88423","14.86289","14.87497","15.10306","14.96587","14.88913","14.97233","14.94459","14.84289","15.18556","14.72854","14.73681","15.07799","14.87069","15.18651","14.71393","14.91658","15.26585","14.99893","15.47677","14.69169","14.73282","14.95270","14.83661","14.81328","14.99396","14.67192","14.73997","14.70687","15.44338","14.81220","14.93850","14.84341","14.87766","15.02485","14.69121","14.53450","14.80016","15.14525","14.73049","14.72388","14.90124","14.88007","14.70723","15.03531","14.57278","14.81447","14.95539","15.10061","15.25514"
"173","14.07240","14.38195","13.90332","14.04754","14.09776","13.79423","14.27000","14.09125","14.02212","13.80579","13.95607","14.15441","14.22796","14.01142","13.71362","13.61864","14.38894","14.25415","14.05014","13.57732","13.77115","14.08954","13.86318","13.73577","14.06865","14.07124","14.06853","13.88313","14.16347","14.15553","13.83369","14.13291","13.84619","14.02371","14.09231","14.26176","13.94365","14.09459","14.53520","14.39204","14.14467","13.78804","14.09734","13.92629","13.83179","14.24495","14.14862","14.21856","13.90434","13.96586","14.07022","13.83492","14.09888","13.84752","13.24752","13.75787","14.16791","14.15307","14.19293","14.08663","14.05685","14.01842","13.51868","13.73331","14.06304","13.64192","14.35882","13.69608","13.81066","13.98558","14.30036","14.02471","13.93010","13.83547","14.27925","14.22387","13.98151","14.03986","14.34485","13.66051","14.14685","13.54367","14.13249","13.84827","13.79774","14.08976","14.06185","13.75552","14.02653","13.81971","14.06469","14.05429","13.87675","14.26897","14.00521","13.86410","14.07063","14.10310","13.94200","14.00646","14.00195","13.92939","13.49831","14.26772","13.94643","14.03817","13.88420","14.47959","13.97047","14.19458","14.04896","14.00673","14.12124","13.96199","14.36960","14.06833","13.75001","13.97548","14.24844","14.48492","13.75072","14.28745","14.01995","13.96396","14.03691","14.21209","14.45959","13.82852","13.56237","14.10055","14.28993","14.17454","13.94640","14.02895","14.09908","13.80182","14.23412","13.68790","13.94700","13.69556","14.09266","14.00071","13.93686","14.11996","13.67371","14.09227","13.87570","14.24520","13.98341","13.85273","14.16506","13.67339","14.12705","14.01655","14.23619","13.88013","13.96271","14.59344","14.01781","13.81568","14.07439","14.32466","13.99059","14.19635","14.13260","14.00025","14.19182","14.04336","14.18252","13.91679","13.98041","13.81437","14.21326","13.70301","13.84596","14.22543","13.69151","14.03340","13.64252","13.54343","14.18386","13.86384","13.99524","14.34683","14.27348","13.78031","14.31407","14.37613","14.25657","13.47339","14.24658","14.07319","13.80917","13.75626","13.94566","13.85208","14.31478","14.06131","13.96607","14.08130","14.18289","13.91829","13.68577","14.01097","13.77736","13.98885","14.17608","14.12543","14.26727","14.26336","13.86182","14.22785","13.92958","13.99657","13.89612","13.85478","13.73060","14.04472","14.22522","14.02255","13.98977","13.77435","13.95769","14.19383","13.52349","13.59056","14.44222","14.06135","14.31396","13.78354","14.06618","13.95063","13.62390","14.32271","13.53374","14.02382","13.95844","13.81292","14.13124","14.26306","14.29880","14.42078","14.07520","13.97099","14.07335","13.90751"
"183","14.22436","14.16991","13.98701","13.86764","13.89905","14.09827","14.16563","13.91398","14.05825","14.23075","14.12375","14.23529","14.14776","14.10854","13.92594","14.17846","14.26098","14.25860","14.35077","14.35847","14.13140","14.21917","14.13358","14.19962","14.30067","14.00902","14.05759","14.10209","14.28024","14.17222","14.15946","14.31669","14.16313","14.32770","14.21387","14.08628","13.82056","14.14378","14.15826","13.99083","14.12676","14.18665","14.02215","13.85084","13.84865","14.14147","13.93552","14.30171","14.00757","14.10170","14.14168","13.90779","14.33747","14.08344","14.53973","13.93807","14.18382","14.06790","14.09586","14.12371","14.06595","14.37903","14.00595","13.92505","14.35836","14.33963","13.88968","13.98298","14.10670","14.32656","14.13718","13.87799","14.11571","14.21480","14.19597","14.21008","14.09947","14.11874","14.14211","14.00464","14.25832","14.15470","13.94731","14.27228","14.05890","14.37085","14.19074","14.31738","13.85006","14.15658","13.91712","14.05338","13.90633","14.08826","13.90930","14.10042","14.00968","14.11053","14.12653","14.26364","14.10653","14.00572","14.32495","13.94666","14.01742","13.98913","13.97330","14.11602","13.86001","13.96335","14.18823","14.00227","14.02510","14.24294","14.12036","14.22387","13.85221","14.13253","14.00668","14.41978","14.25333","14.24716","14.03488","14.11300","13.98083","13.87225","14.06299","14.00253","14.03529","14.22617","14.18340","14.20645","14.28166","14.11227","13.96716","14.29149","14.28230","13.99342","14.04410","14.04499","13.92043","14.06531","14.34115","14.13592","14.04835","13.98022","14.11674","14.31475","14.32211","14.37942","14.05796","14.07611","13.82624","14.09039","14.19982","14.08571","14.15221","13.94627","13.94100","14.25286","14.09784","14.02122","14.22492","14.20964","14.19674","14.10504","14.09116","14.15785","14.01099","13.97552","13.99340","14.17089","14.08744","14.08487","14.06475","14.04111","14.19952","14.05966","13.60004","13.91340","13.96795","14.20981","14.15105","14.11852","14.21019","14.20433","14.18534","14.18783","14.32950","14.09323","14.12875","14.32856","14.02563","14.05125","14.10510","14.07778","14.29301","14.34395","14.09569","14.18734","14.25115","14.37532","14.18378","14.35671","13.99183","14.13243","14.19244","13.93875","13.98089","14.07488","14.18797","14.31659","14.18716","14.28670","14.06693","14.18843","14.13586","14.02449","14.22973","14.28534","13.98638","13.88953","14.05736","14.02338","14.26057","14.10043","14.00756","14.37876","14.39120","14.06770","14.15484","13.92533","14.00202","14.09094","13.81411","13.98815","14.38252","14.07241","14.48537","14.04141","14.24811","14.03890","14.41748","13.96091","14.18317","14.00552"
"197","16.35868","16.69128","16.79266","16.77295","16.34697","16.79023","16.61665","16.55548","16.29957","16.29195","16.63516","16.50641","16.46563","16.85652","16.38120","15.76682","16.72204","16.47727","16.30332","16.59601","15.94882","16.55608","16.56639","16.16876","16.09298","16.26288","16.34653","16.35807","16.16606","16.46536","16.70234","16.60386","16.50034","16.22772","16.76324","16.58090","16.09348","16.76227","16.38750","16.48995","16.82331","16.26887","16.35952","16.63056","16.38955","16.79127","16.58259","16.74198","16.30960","16.86579","16.73755","16.54252","16.57955","16.72282","16.32032","15.70448","16.04582","16.17455","16.55231","16.69316","16.29053","16.55917","16.11423","16.28580","15.93732","16.54255","16.46691","16.31522","16.25607","16.32591","16.12122","16.39459","16.45069","16.10432","16.38038","16.54633","16.25067","16.54350","16.44473","16.46298","16.76583","16.87681","16.42586","16.52157","16.68047","16.64118","16.31824","15.94840","16.62144","16.48128","16.60318","16.58448","16.04871","16.28608","16.29805","16.47963","15.91678","16.16287","15.96733","16.40848","16.58271","16.05052","16.54067","16.06137","16.44973","16.66787","16.68706","16.72551","16.51228","17.18051","16.45083","16.51982","16.26988","16.38865","16.44667","16.57071","16.09816","16.10327","16.29750","16.72029","16.22772","16.28077","16.14825","15.88502","16.64304","16.22317","16.02295","16.14946","16.36312","16.55095","16.10858","16.48664","16.22006","16.40647","16.60593","16.46994","16.59496","16.34597","16.64617","16.13635","16.83588","16.76382","16.21369","16.11581","16.16972","16.44325","16.41842","16.22781","16.66476","16.74352","16.82673","16.46887","16.37430","16.50415","16.39646","16.38862","16.41422","16.37310","16.49291","16.53429","16.31939","16.55472","16.26048","15.87831","16.45546","16.48307","16.26472","16.26226","16.65677","16.13923","16.68425","16.36751","16.74660","16.41533","16.14421","16.23782","15.75030","16.05575","16.45088","15.87675","16.10024","16.51554","16.60233","16.39695","16.48554","16.33806","16.67935","16.30932","16.57349","16.10919","16.62371","16.32452","16.31825","16.47926","16.10635","16.14148","16.79639","16.32941","16.55004","16.05910","16.71880","16.58108","16.54058","16.29317","16.31470","16.32254","16.06533","16.57704","16.65111","16.54617","16.07475","16.21282","16.61873","15.93630","16.77045","16.20497","16.63180","16.39146","16.45061","16.35496","16.29556","16.56507","16.44441","16.83777","15.93791","16.22453","16.48656","16.66230","16.81260","16.76136","16.91662","16.38591","16.81249","16.51430","16.36786","16.07670","16.47221","16.59989","16.75991","16.91156","16.70096","15.85407","16.54817","16.16563","16.61583","16.34236"
"213","13.92919","13.87309","14.16486","14.33997","13.95778","14.43715","14.34281","13.96399","14.11141","13.80254","14.07720","13.71158","14.18690","14.14695","13.81992","13.93984","14.19379","14.37672","14.74064","13.98193","14.27746","14.20367","14.19692","14.28632","14.56772","14.95409","14.57206","14.44410","14.91940","14.30080","14.21559","14.19208","13.93690","14.26063","14.13460","14.67809","14.98361","14.44360","14.53022","15.14008","14.08517","14.56828","14.53836","13.77101","14.42884","14.13685","14.03913","14.03859","14.01409","14.33944","14.12198","13.88118","14.27779","13.98769","13.70587","14.30182","14.12210","14.71945","14.45407","14.08735","14.83158","14.00333","14.18752","13.60751","14.77667","13.50773","14.70927","14.62999","14.48372","14.38784","14.35553","14.26907","14.13371","14.20332","14.87572","14.78994","14.73268","14.62740","14.49059","14.00052","14.30532","14.01978","14.60322","13.83321","13.88046","14.01270","13.79776","14.64603","14.22513","13.97552","13.72120","14.14732","14.03549","14.42699","13.98303","14.31910","14.45305","14.70717","14.15098","14.50703","14.01345","13.85866","14.57135","14.75158","14.07217","13.96640","14.30735","14.18891","14.40429","13.99139","14.84993","14.33276","14.34770","14.46880","14.76923","14.47693","14.11415","14.73109","14.30350","14.35694","14.46845","14.74084","14.32105","13.79086","14.02361","14.11438","13.96180","13.88027","14.09775","14.69266","14.23113","14.61615","14.63002","14.16035","14.81973","14.65909","14.19253","13.90027","14.21191","14.00955","14.48730","14.41807","13.74603","14.51776","13.99507","13.92699","14.21410","14.60769","14.08400","13.92559","14.44799","13.70584","14.13274","14.52544","14.49847","13.56160","14.44937","14.71669","14.68894","14.07895","14.59380","13.79110","15.26349","13.85496","14.40475","13.94597","14.76974","14.65658","14.30888","14.05068","13.86472","13.64631","13.62365","14.14005","14.56980","14.28434","14.58537","14.74137","14.08245","13.60982","14.74453","14.04630","13.52115","14.03920","13.97290","13.62655","14.84545","14.52284","14.16789","13.81443","14.52148","14.45591","13.82355","13.84441","13.85791","14.07669","14.13401","14.47416","15.18347","14.96929","14.10773","13.62773","13.96583","14.17418","13.94847","13.86984","14.61823","14.17498","14.72571","14.48478","14.75380","14.85930","13.72721","14.26671","14.60040","13.61585","13.99259","13.80343","14.66792","14.03047","14.91004","13.70262","13.79675","13.74491","13.04329","14.36146","13.97950","14.05488","13.91592","14.39316","14.05389","13.63630","14.72148","14.05924","13.59554","14.68398","14.15312","13.94001","13.70367","13.95156","14.04905","14.61845","14.27017","14.58226","14.03820","13.88856"
"259","13.45734","13.36356","13.39226","13.58595","13.51895","13.49653","13.56845","13.18464","13.55639","13.19325","13.05705","13.21655","13.66850","13.67645","13.09689","13.76457","13.34589","13.44456","13.79942","13.28570","13.69003","13.35048","13.58372","13.69875","13.59322","13.65672","13.45792","13.59577","13.51260","13.49706","13.28622","13.55232","13.45750","13.60290","13.39542","13.93670","13.47527","13.31597","13.51047","13.36649","13.17053","13.54989","13.60356","13.19610","14.46067","13.50828","13.33575","13.37231","13.46796","13.24042","13.19582","13.34952","13.24033","13.44150","13.63676","13.43693","13.35274","13.49430","13.59925","13.58359","13.70350","13.66309","13.60000","13.58320","13.95334","14.02160","13.41547","13.87523","13.67272","13.46488","13.32800","13.45500","13.03200","13.63994","13.60076","13.57254","13.67162","13.31399","13.64299","13.44331","13.55053","13.77705","13.65063","13.36704","13.65217","13.37540","13.51830","13.44162","13.33617","13.43447","13.24076","13.25008","13.37303","13.49350","13.38883","13.38761","13.43246","13.59487","14.09209","13.60384","13.22046","13.35347","13.41255","13.41101","13.40494","13.44701","13.50168","13.33230","13.61964","13.61205","13.74847","13.06290","13.53947","13.51505","13.24267","13.69339","13.65489","14.15087","13.52140","13.37201","13.44423","13.57899","13.45988","13.35918","13.36848","13.34042","13.42254","13.44983","13.53420","13.49034","13.21474","13.49227","13.43453","13.22773","13.42078","13.16992","13.31459","13.64917","13.43566","13.65759","13.41748","13.42459","13.08603","13.57724","13.34698","13.52679","13.53542","13.51670","13.49060","13.65901","13.42406","13.46014","13.42915","13.62201","13.42156","13.35303","13.25650","13.70636","13.42038","13.85706","13.23531","13.54698","13.96309","13.23894","13.40924","13.23996","13.78277","13.51326","13.26722","13.39405","12.97723","13.68123","13.51395","13.50070","13.67085","13.09136","13.45150","13.58342","13.20038","13.75430","13.84966","13.33810","13.37130","13.53972","13.17939","13.65768","13.61936","13.42856","13.67598","13.59430","13.45013","13.27910","13.60942","13.97830","13.14229","13.52134","13.06504","13.63709","13.43111","14.12093","13.39441","13.59660","13.24064","13.62682","13.26744","13.29823","13.80343","13.40641","13.35370","13.16748","13.83587","13.58494","13.18183","13.58476","13.46222","13.50233","13.15591","13.61052","13.51218","13.47381","13.69005","13.54391","13.38593","13.52954","13.65608","13.70869","13.15512","13.24899","13.10521","13.47999","13.24560","13.25820","13.41978","13.57980","13.43941","14.26034","13.84432","13.51133","13.27813","13.45606","13.44526","13.45756","13.53038","13.77871","13.47125","13.23035"
"325","14.72591","14.42856","14.40877","14.70281","14.99634","14.69056","14.59436","14.43930","14.75695","15.02663","14.88788","14.69418","14.83230","15.05707","14.79370","15.18211","14.75440","14.96635","14.68909","14.74803","14.74960","14.80857","14.83199","14.49898","14.58549","14.82360","14.53241","14.93042","14.56058","14.73346","14.70637","14.80523","14.82550","14.93259","15.05848","14.57430","14.26306","14.68616","14.77565","14.51469","14.94731","14.33287","14.62918","14.82455","15.08458","14.99887","14.77784","14.83719","14.76561","15.00671","14.87567","14.83205","14.33135","14.83282","14.62721","14.68376","14.80750","14.79549","14.82966","15.04486","14.80236","14.74769","14.74007","14.13603","14.79389","14.57942","14.92168","14.63199","14.57906","14.56168","14.77195","14.77131","14.85696","14.68810","14.86504","14.91345","15.02123","14.65743","14.73051","14.82491","14.67629","14.67884","14.72949","14.72637","14.92432","14.56328","14.35295","14.15230","15.03493","14.44519","15.00798","14.72830","14.93619","14.48458","15.13532","15.16820","14.80388","14.63943","15.56319","14.44900","15.00583","14.90280","14.60992","14.92988","14.65354","15.13826","14.93282","14.87651","15.14767","14.84411","14.69043","14.65151","14.94837","14.75156","14.86122","14.62452","14.67113","14.59861","14.84642","14.60552","14.81994","14.72610","14.68241","14.87927","15.03349","14.64372","15.06354","14.67659","14.98783","14.80624","14.71142","14.72854","14.25232","14.58722","14.74970","14.44746","14.24611","15.00914","14.76461","14.92981","14.77575","14.76706","14.68248","14.91975","14.79657","14.82315","14.73129","14.91405","14.57446","15.10012","14.79506","15.29096","14.71333","14.88278","15.05382","15.04957","14.46012","14.43870","14.72518","14.42993","14.66880","14.62370","15.10040","14.69416","14.96665","14.68182","14.81515","14.66985","14.67871","15.14921","14.82964","14.38255","14.93399","15.13837","15.06815","14.85723","14.62885","15.11107","14.65489","14.75292","15.11983","15.29237","14.43011","14.53996","14.91883","14.57898","14.89011","14.72917","14.51523","15.26155","14.82526","14.58612","15.19248","14.84086","14.64924","14.81821","14.68538","14.81995","14.80370","14.50640","14.96835","14.55351","14.56361","14.82292","15.06303","14.71978","15.09359","14.99407","14.90053","14.26469","14.81802","14.23665","14.79818","14.85492","14.82916","15.26261","14.86313","15.00239","14.73521","14.81506","14.78191","15.04277","14.81508","15.18543","14.88716","14.85344","14.59029","14.86778","14.15336","14.60652","14.49289","14.58235","14.68610","14.56609","14.81445","14.97176","14.82441","14.99233","14.59171","14.74078","14.65517","14.63298","14.71548","14.74187","15.26608","14.78949"
"335","15.13093","15.28619","15.19487","15.05272","14.76457","14.86918","14.62720","14.79027","15.01295","15.04265","15.35251","15.17116","14.85852","15.11626","15.15419","14.69820","15.17977","14.98757","14.93611","15.02865","15.11592","15.20672","15.39710","14.48527","15.06740","14.76116","14.48887","14.24053","14.86552","15.11341","15.17352","14.89587","15.04258","14.98749","15.19269","14.86206","15.02322","15.03769","15.08210","15.05935","15.13617","14.71654","14.69821","15.21501","15.06353","15.19520","15.13087","14.94888","15.02431","15.11738","14.95658","14.83245","15.25431","15.21894","14.12181","14.48079","15.05587","15.19831","15.01952","15.00921","14.83945","15.18568","15.01037","14.74388","14.95223","14.30886","14.97390","14.88031","14.70652","15.14868","15.07285","14.72137","15.00632","14.91131","14.83995","14.87861","14.99067","15.02088","14.93587","14.65341","15.03304","14.81157","14.82657","14.85258","14.56958","14.85076","14.96783","14.33535","14.62712","14.99022","15.09657","14.88265","14.78422","14.87443","14.97795","14.86811","15.05424","14.70825","14.89382","14.97107","14.70750","14.81956","15.12657","14.82625","14.89049","14.78473","15.20211","15.22852","15.17606","15.03932","15.20560","15.03199","14.76794","15.00644","14.90869","15.45126","14.88209","14.96429","15.06099","15.00848","14.46375","14.94444","14.93254","14.85854","15.04668","15.18108","14.85093","14.77482","14.88625","15.29693","15.28428","14.96746","15.28250","15.21529","14.95519","15.12844","15.02012","14.68424","15.00384","14.82099","14.98552","14.86685","15.22356","15.31164","14.93680","14.91290","14.98606","14.98938","15.00559","15.29016","14.95645","14.92105","15.02584","14.92813","14.84114","15.07629","15.03857","14.64792","14.93499","14.96785","14.98358","14.89648","15.40667","14.95980","14.96597","15.31264","14.94019","14.99154","14.94536","15.25787","15.05777","14.80048","15.14820","14.82203","14.31008","15.17579","15.16431","14.81483","14.45645","14.40406","14.69202","14.69227","14.86447","15.30313","15.02072","14.77345","15.13906","14.79887","15.09871","14.85721","14.77848","15.36992","14.86563","15.20705","14.97983","14.86688","15.07459","15.04972","15.41155","15.14543","14.95722","14.75032","15.15310","15.09327","15.13574","15.23924","15.11827","14.94339","14.82701","15.16627","14.58327","15.22777","15.27826","15.09781","15.06416","14.83112","15.22591","15.03557","14.86539","15.25322","14.75037","14.84916","14.76739","15.12904","15.03372","14.35050","15.35354","14.95189","15.12277","14.97461","15.08200","15.22849","15.23467","14.94659","14.78136","14.96043","15.19254","15.19914","15.47379","15.20409","15.02975","15.19646","14.90274","14.68680","15.09480","14.87724"
