"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81"
"A2MG","17.98925","17.17889","18.25910","17.11142","18.18679","17.18326","17.25134","17.09298","17.10179","16.80346","18.09012","17.59903","18.58296","16.85865","17.94828","17.69528","17.21908","18.06908","18.10003","18.36736","17.96201","17.76485","17.29110","17.16410","16.89089","17.70862","17.64786","18.16083","17.83873","18.48590","19.09455","18.36421","17.29490","17.92451","18.26364","18.42338","17.71620","18.01247","18.82372","18.26516","17.77440","17.48956","18.59373","18.20851","17.35122","18.33091","17.47328","18.14036","18.43830","17.69563","17.83358","18.94706","18.55151","18.86508","18.85131","18.84720","18.29492","17.45522","18.54959","17.99844","17.79887","18.36094","18.24364","18.04216","18.78411","17.60916","19.00763","18.59580","18.52355","18.40269","19.60311","18.02822","19.19122","17.78185","19.10846","17.82797","18.97306","19.73151","19.16696","18.95053","18.03346"
"AACT","20.21168","21.12620","21.56878","20.18741","21.29030","21.53697","21.84284","22.45305","20.74328","19.97569","20.09495","19.97937","20.42251","21.83202","20.31975","21.65971","20.76097","21.18034","20.81620","21.60637","20.93458","20.40545","21.98208","20.91276","22.16588","21.24531","22.18641","20.21256","20.88114","20.33252","20.55226","20.40973","21.16527","20.73940","20.68846","20.61306","21.04703","21.46456","21.32242","21.96504","20.48926","21.84079","20.40485","21.12102","22.06320","21.28401","21.90301","21.70714","20.44591","21.97636","21.20953","21.11472","21.77037","20.38935","21.20592","21.29194","20.28314","22.41122","20.57476","21.50435","21.54286","20.94299","20.90555","20.68909","20.76766","22.06531","21.04569","21.43252","20.53845","20.77073","21.38330","20.86416","20.30419","21.40501","21.39699","21.72778","22.44062","21.40808","22.34180","20.37214","21.47422"
"APOA","19.62308","13.73807","14.19121","12.52145","17.85857","17.19552","17.70853","17.65882","17.34795","17.61698","16.14682","14.79668","17.13718","17.65556","15.04312","13.43430","12.56858","15.70120","16.24892","15.70082","18.81070","16.76184","17.99291","15.96758","18.06777","15.07273","15.31100","13.92180","15.58503","16.39702","13.84267","14.66133","14.81281","15.07233","19.11625","12.51423","17.62666","15.14825","17.95566","17.53456","15.18991","13.72078","14.16202","12.87358","16.75914","15.25700","17.12110","14.69464","14.57859","15.80194","17.43875","13.84795","14.89377","15.04041","17.49505","16.60616","15.03098","15.07570","18.54388","16.74711","17.23991","17.31055","17.56526","15.31766","12.25494","14.90563","17.52269","16.72586","13.97060","15.01380","16.06933","17.51503","14.00141","16.67425","12.61009","17.75241","16.44893","14.33747","17.73409","14.66253","17.11380"
"APOA1","22.50381","22.34961","22.43871","22.29837","22.37038","22.33679","21.72323","22.00861","22.68134","21.84086","22.53549","22.22364","22.19069","22.26963","22.49601","22.21205","22.68134","22.34750","22.72059","22.09977","22.06546","22.19429","22.09512","21.50538","22.16768","22.33262","22.03528","23.19022","22.84888","23.25641","22.63968","22.44299","22.36376","23.07560","22.78528","22.91454","22.85453","22.83358","22.96919","22.71215","22.73077","22.42604","22.59290","22.66383","23.20207","22.86116","21.95495","22.95340","22.92485","22.73288","22.87580","23.27026","22.38421","22.01607","22.66832","22.49854","22.61878","20.67623","22.67847","22.06040","22.69634","22.92099","23.11242","23.17665","23.25023","22.50786","23.03983","21.58007","22.52904","22.30192","21.78963","22.40833","22.80046","22.58031","22.63646","22.93996","22.85924","22.04378","21.25559","22.28032","22.37451"
"APOB","19.04037","17.95308","17.59126","17.80384","18.47784","18.13041","18.26755","18.16057","17.73548","17.86588","17.63977","17.56147","17.69988","18.20803","17.91322","18.29014","18.20402","18.54642","17.79979","19.03885","18.47839","18.03672","18.48544","17.96001","18.04829","18.53993","18.37047","17.58007","18.52092","18.18011","18.75243","18.13042","17.35534","18.21697","18.93893","18.07815","18.15805","18.15127","19.01148","18.73716","18.55375","17.95090","18.67893","18.62852","18.31074","18.91271","18.42125","18.45938","18.92238","17.63040","18.89827","18.31453","18.50118","18.43746","18.21731","18.82165","18.50082","17.74240","18.95251","18.58370","18.47944","19.33619","18.91801","17.92234","18.80907","18.12983","18.45851","19.02602","18.57605","18.45807","18.28545","17.96190","18.80491","18.60966","18.99501","18.81832","18.78322","19.23319","18.96495","18.54215","18.57313"
"APOE","17.09512","15.25449","16.89282","16.72688","16.61808","16.47537","15.82988","15.83054","16.75761","16.17632","15.97734","15.57087","16.04269","15.65705","16.30480","17.09614","16.31624","16.08274","16.07729","16.69487","16.65029","15.54099","15.99527","16.13128","16.39245","16.16532","15.83577","16.47817","16.44808","16.84173","16.78163","16.31949","16.16419","17.19518","16.49079","14.87664","16.49647","16.30066","16.33334","16.15289","19.34612","16.61267","17.28017","16.70361","16.76480","16.62633","16.43921","16.54849","16.98637","16.23476","16.93759","16.82478","16.53797","16.91052","16.60586","16.79432","16.44207","16.24577","16.57142","16.66782","16.63890","16.89490","16.59395","17.32694","16.27826","16.80560","16.05570","16.40014","17.55027","16.60766","16.32128","17.32255","17.18269","16.47251","16.58973","16.90554","17.21468","17.40148","17.06285","16.79725","15.69382"
"B2MG","15.66239","15.05989","15.14753","15.15065","15.34625","14.99165","15.22578","14.86864","14.90024","13.99008","14.38868","14.35131","14.97647","14.99108","15.12652","15.43958","14.81469","16.00005","14.92581","15.21450","15.73579","14.87624","14.88669","15.15839","14.74596","16.10396","15.69850","14.71930","15.06038","14.55529","15.64763","14.34495","14.90583","14.35630","15.09026","14.79334","15.99192","14.80443","15.19442","15.14788","14.49218","15.25744","14.88260","14.64465","14.52067","14.18251","15.32618","15.50163","14.93410","15.88890","15.27487","15.06323","15.31711","14.95485","15.18026","15.01770","15.27458","14.92662","15.79081","15.09514","15.61164","14.89058","14.55385","14.77014","14.05549","14.97187","15.45675","15.52886","14.60976","15.07515","15.65740","14.58446","14.97443","14.67884","15.77204","14.95868","16.36340","15.08042","15.26781","14.01169","14.59991"
"C1QA","17.95572","17.87879","18.20648","18.19653","18.23511","17.94355","18.57607","18.26107","18.14036","16.84616","17.81646","17.75942","17.69302","18.14635","17.79268","18.37513","18.21592","18.27146","18.15021","18.64025","18.28992","17.22876","18.35025","17.69504","18.17193","18.22644","17.62774","18.17043","18.47583","18.27083","18.20406","17.71477","17.98839","18.03619","18.38231","18.36003","18.57375","17.86020","18.17014","18.23889","18.37661","18.13033","18.65553","18.42779","17.56601","17.85198","18.37636","18.27544","18.16516","17.85517","18.50010","18.32343","18.43226","18.10179","18.19538","18.04640","17.69468","17.78988","17.90029","18.70821","18.52259","18.29010","18.67779","18.30149","18.38915","18.10302","18.29795","17.68027","18.14882","18.24936","18.02914","18.04240","18.02099","18.15584","18.76385","18.64347","18.45726","18.98056","18.69367","17.45467","17.50529"
"C1QB","16.98737","17.07821","17.23072","17.18742","17.33964","16.92784","17.50595","17.38910","17.16606","16.10387","17.08739","16.61167","16.81240","17.31608","16.84639","17.51028","17.20483","17.25410","17.06728","17.50530","17.41578","16.51589","17.33596","16.69571","17.24886","17.25748","16.60672","17.08389","17.36865","16.99956","17.07368","16.97452","17.24001","17.23675","17.65489","17.39962","17.69271","17.24698","17.31483","17.16792","17.56935","17.07944","17.65894","17.65509","16.78426","17.13607","17.58596","17.41848","17.25835","16.78597","17.32338","17.34854","17.64168","17.25550","17.45451","17.07457","17.14844","16.50918","16.91049","17.41957","17.53261","17.43562","17.45522","17.17530","17.31781","16.92523","17.43395","17.10208","17.36369","17.27876","16.99558","17.25700","16.66825","16.98879","17.72053","17.37127","17.02392","17.80224","17.53168","16.70010","16.86649"
"C1QC","19.07527","19.03966","19.19031","19.29765","19.17431","19.14901","19.70026","19.70711","19.13555","18.10667","18.99234","18.59065","18.64377","19.31470","18.88078","19.42266","19.25444","19.40360","19.15616","19.61839","19.48161","18.48309","19.29166","18.67685","19.30951","19.22035","18.59889","19.09599","19.34478","19.12961","18.95354","18.79957","19.33279","19.10186","19.46901","19.46079","19.70210","19.07545","19.31585","19.37590","19.54164","19.27016","19.56978","19.43349","18.90218","19.05433","19.47326","19.29803","19.28440","18.91332","19.53254","19.20886","19.43449","18.96795","19.51631","19.00590","18.88458","18.88535","19.08433","19.59494","19.50248","19.33591","19.34008","19.20248","19.23173","19.28219","19.53415","19.14895","19.32288","19.12557","18.97719","19.09987","18.72077","19.17188","19.65397","19.52413","19.38245","19.72893","19.75907","18.51570","18.52221"
"C1R","15.75842","16.06628","15.78368","15.86384","16.11626","15.68647","16.32147","16.30447","15.88681","14.67844","15.72388","15.19471","15.17961","16.22205","15.54743","16.08649","16.04035","15.46639","15.71527","16.39391","15.76289","15.23700","16.31498","15.45514","16.30585","16.05309","16.26525","15.76293","16.02588","15.86252","15.53885","15.63050","15.76204","15.80500","15.88397","15.93703","16.23806","16.37138","15.64561","16.10411","15.96972","15.97766","15.98660","16.00921","16.02630","15.77786","16.32671","16.01399","15.77233","15.84623","16.09590","16.08957","16.22864","15.92312","16.17085","15.87446","15.59708","15.95192","15.59924","16.21192","16.15508","15.91951","16.05826","15.91499","15.76421","16.64102","16.13268","15.66021","15.82450","15.98201","16.11179","16.03552","15.65209","16.25813","16.43662","16.28526","16.26032","16.44835","16.20723","15.49429","15.92157"
"CADH5","14.91089","14.84360","15.28688","14.22653","14.15816","14.17546","14.12687","13.99021","14.23987","13.27455","14.54861","13.72181","14.41253","14.30941","13.80566","14.15749","14.54744","14.50044","14.24000","14.49370","14.36461","13.78680","13.84566","14.01317","13.92709","14.19573","14.17084","14.42326","14.34244","14.48137","14.66421","14.72785","13.91615","14.36834","14.92000","14.78984","14.66484","13.95680","14.27425","14.60275","14.50870","14.48075","14.11868","14.08183","14.95310","13.94949","14.33812","14.30205","15.17521","14.18409","13.97631","14.13791","14.54728","14.22975","14.34066","14.59958","14.83964","14.17457","15.29886","13.91338","14.50237","14.59754","13.99129","14.18702","14.21002","14.13893","14.69543","14.61771","14.88894","14.63960","14.09358","14.73858","14.44861","14.27610","14.54987","14.19844","14.59380","15.01797","14.11300","14.66214","14.22612"
