attrib_name	01CO006	01CO008	05CO004	05CO006	05CO007	05CO011	05CO015	05CO020	05CO028	05CO029	05CO032	05CO033	06CO001	06CO002	09CO005	09CO006	09CO008	14CO001	14CO002	20CO001	20CO003	05CO002	01CO005	01CO001	05CO003	05CO049	22CO004	05CO037	11CO033	20CO006	11CO043	20CO007	11CO042	11CO032	16CO002	11CO018	16CO006	11CO031	09CO011	05CO039	21CO006	05CO034	01CO022	20CO004	05CO048	09CO013	21CO007	15CO002	11CO062	05CO035	16CO003	11CO019	11CO030	01CO019	11CO005	01CO015	15CO001	11CO048	13CO001	27CO004	11CO010	05CO041	11CO020	11CO007	05CO026	11CO045	16CO011	14CO005	22CO006	11CO037	14CO003	05CO044	11CO036	11CO008	11CO060	11CO039	11CO070	11CO079	05CO053	11CO072	11CO027	11CO077	05CO054	05CO050	11CO058	11CO057	09CO022	11CO054	11CO053	11CO052	11CO061	11CO044	05CO045	11CO021	11CO047	11CO022	09CO014	09CO015	09CO018	09CO019
PLEC	7.4886	8.4007	7.8071	7.4886	8.4007	8.1871	7.5941	7.9645	8.4007	8.1871	7.9645	7.9645	8.1871	8.4007	8.1871	8.1871	8.1871	8.1871	8.6771	7.8879	7.4886	8.1871	8.6771	8.1871	7.5941	8.4007	8.6771	8.1871	7.8071	8.6771	7.9645	8.1871	7.7023	7.3235	7.5941	7.8071	7.9645	7.9645	7.6492	8.4007	7.4886	8.4007	7.3235	8.6771	7.8879	7.9645	8.4007	7.8071	7.8071	7.8071	7.8071	8.6771	7.9645	7.8071	7.7023	8.1871	7.7023	7.7023	7.9645	7.8071	7.8071	8.1871	8.1871	7.3235	7.9645	7.9645	7.8879	7.9645	7.5941	7.2551	7.8071	8.4007	7.7023	7.8071	7.4034	7.7023	7.5941	7.5941	8.4007	8.2978	7.8071	7.9645	8.4007	8.1871	7.7023	7.9645	8.6771	7.8071	7.7557	7.8071	7.5941	7.9645	8.1871	8.1871	7.9645	7.9645	7.5941	8.1871	7.8071	8.0801
MYH9	7.8071	7.9645	8.1871	7.1891	7.1891	7.8071	7.4886	7.8071	7.5941	7.7023	7.8071	7.2551	7.4034	7.7023	7.8071	7.9645	7.8071	7.5941	7.7023	7.7023	6.9824	7.9645	7.2225	7.8071	7.4886	8.6771	8.4007	7.9645	7.9645	8.4007	7.5941	7.9645	7.3235	6.9403	7.1891	7.9645	8.1871	7.5941	8.4007	8.0801	6.7561	7.4886	7.8071	7.9645	7.5941	8.6771	7.8071	7.9645	7.9645	7.4886	7.5941	8.4007	8.1871	7.7023	7.2551	8.6771	7.8071	7.4034	7.7023	8.1871	7.7023	8.6771	7.8071	7.5423	8.4007	7.7023	7.7023	7.7023	7.7023	6.7731	8.6771	7.7023	7.8071	7.5941	8.6771	7.8071	7.8071	7.8071	8.6771	8.2978	7.7023	8.1871	8.6771	7.7023	7.3235	7.7023	8.4007	7.9645	7.3235	7.7023	7.4886	7.8071	7.5941	7.5941	7.8071	7.7023	7.4034	7.9645	7.9645	7.8071
MYH11	7.1891	5.6395	6.6219	5.9355	1.9336	7.4886	5.8924	6.9824	5.8412	6.8435	6.0544	8.1871	7.133	7.9645	6.7561	6.2955	6.3975	6.9403	5.7942	7.8879	8.4007	6.9824	5.7206	6.4994	5.6082	6.3553	6.102	6.3154	7.4886	5.1659	6.9403	6.0396	8.4007	8.4007	8.4007	6.5336	7.4034	7.0592	5.3906	3.275	8.1871	8.1871	4.8938	6.1491	8.1871	6.0333	6.8603	8.1871	7.4886	8.4007	8.4007	6.6574	7.7023	8.4007	8.4007	6.102	8.4007	8.4007	8.4007	7.5941	8.1871	6.0053	8.4007	8.1871	6.6959	8.1871	8.4007	8.1871	8.1871	8.6771	5.2273	5.8605	5.0206	7.4886	6.2118	8.4007	6.2421	8.1871	5.9916	4.578	8.4007	7.5941	5.9586	7.1891	8.1871	6.3975	6.2118	6.3341	8.4007	7.1891	7.9645	6.5219	7.8071	5.4799	5.782	8.4007	7.8071	6.3248	4.0496	6.9403
COL6A3	8.4007	7.4466	8.6771	8.6771	7.8071	8.6771	8.6771	8.6771	8.1871	7.9645	8.6771	8.4007	8.4007	8.1871	8.4007	8.6771	8.4007	8.4007	7.4886	8.4007	8.1871	8.4007	8.1871	7.3235	8.1871	8.1871	7.9645	7.8071	8.4007	7.2551	8.4007	7.8071	8.1871	7.9645	8.1871	8.1871	8.4007	8.6771	8.6771	8.0801	8.4007	7.9645	6.8435	7.4034	8.4007	7.7023	8.1871	8.4007	8.4007	8.1871	8.1871	7.9645	8.4007	8.1871	8.1871	7.9645	8.1871	8.1871	8.1871	8.4007	8.4007	8.4007	7.9645	8.4007	8.1871	8.4007	8.1871	8.4007	8.4007	7.9645	7.9645	8.1871	8.4007	8.1871	8.4007	8.1871	8.6771	8.4007	8.1871	7.7023	7.9645	8.4007	8.1871	8.4007	8.4007	8.4007	7.9645	7.5423	8.1871	8.4007	8.4007	8.6771	8.4007	7.9645	8.4007	8.1871	8.4007	8.6771	8.6771	8.4007
HSPG2	7.7023	5.5546	7.7023	6.9403	6.6574	7.4034	7.2225	7.7023	6.6707	6.9403	7.4886	7.3235	7.8071	7.4034	7.7023	7.1613	7.1891	7.7023	6.3876	7.5941	7.9645	7.2551	5.7489	6.0196	7.2551	6.8265	6.8265	7.3235	7.3235	5.9057	7.8071	7.133	7.9645	7.8071	7.7023	7.4034	7.0332	6.9824	5.9508	6.0053	7.8071	7.7023	6.0691	6.6959	7.8879	6.9824	7.4886	7.4034	7.7023	7.5941	7.4034	7.3235	7.133	7.3235	7.8071	6.5639	7.4034	7.8071	7.4034	6.8083	7.9645	6.598	6.6219	7.4034	6.7561	7.8071	7.5941	7.2551	7.4034	7.5941	5.8787	6.7899	7.1891	7.7023	6.3876	7.2897	7.4034	7.3235	6.0396	6.4197	7.4034	7.133	5.5928	7.5941	7.9645	7.5941	6.5529	7.0848	7.9645	7.5941	7.8071	7.5941	7.4886	7.4886	7.3235	7.2551	7.9645	7.0592	6.0053	6.5639
FLNA	8.6771	7.5941	8.4007	8.4007	7.4886	8.4007	8.1871	8.4007	7.7023	8.4007	8.4007	8.6771	8.6771	8.6771	8.6771	8.4007	8.6771	8.6771	8.4007	8.6771	8.6771	8.6771	7.7023	8.4007	7.7023	7.9645	8.1871	8.6771	8.6771	8.1871	8.6771	8.6771	8.6771	8.6771	8.6771	8.4007	8.6771	8.4007	8.1871	7.364	8.6771	8.6771	7.0848	8.4007	8.6771	8.1871	8.6771	8.6771	8.6771	8.6771	8.6771	8.1871	8.6771	8.6771	8.6771	8.4007	8.6771	8.6771	8.6771	8.6771	8.6771	7.9645	8.6771	8.6771	8.6771	8.6771	8.6771	8.6771	8.6771	8.4007	8.4007	7.9645	7.9645	8.4007	8.1871	8.6771	8.4007	8.6771	7.9645	8.6771	8.6771	8.6771	7.8071	8.6771	8.6771	8.1871	8.1871	7.7023	8.6771	8.6771	8.6771	8.1871	8.6771	8.4007	8.1871	8.6771	8.6771	8.4007	8.1871	8.6771
AHNAK	5.6276	6.2619	5.2071	3.9069	8.1871	6.1412	5.8657	4.2884	6.2841	6.4622	5.8709	6.027	6.0691	6.233	6.4755	5.7874	5.7312	5.9651	5.3334	6.3248	6.3447	7.4034	7.0848	8.6771	6.3447	6.4622	6.598	6.6329	6.5336	7.0848	6.7272	6.6329	6.4413	6.8265	6.8265	6.4305	5.9205	5.2593	5.3906	5.3384	6.9824	7.1891	7.0332	7.0848	6.4413	6.1737	6.7561	6.7899	6.6707	6.5336	6.7272	6.3665	6.7731	6.6959	7.3235	6.0053	6.1491	6.4886	6.4994	6.61	7.0848	6.102	7.0332	5.8487	5.7312	6.4413	6.6959	5.8866	5.9586	7.0332	5.2273	6.1737	5.2388	6.4413	5.6633	6.8777	6.7417	5.8117	6.5336	6.6574	7.1891	7.2551	6.4622	7.133	7.0332	6.5529	6.3154	6.4413	6.9824	6.8265	6.3055	6.102	6.5529	6.8083	5.9984	6.5529	6.6833	6.8265	6.9178	6.0853
DYNC1H1	7.3235	6.9824	7.0848	7.7023	7.0848	6.9403	6.9824	7.0332	7.8071	7.5941	7.2551	6.6219	6.9403	6.7731	7.2897	7.2551	7.4034	7.1891	7.0848	6.8949	6.8265	7.1613	6.8265	7.4886	6.8603	7.2551	7.0332	7.1891	6.7899	7.4034	7.0332	7.4034	6.9824	6.7561	7.0332	7.0848	6.7899	6.5102	6.6707	6.7899	6.7272	7.2551	6.8435	7.7023	6.8083	7.3235	7.0592	7.133	7.0848	6.8265	6.7561	7.0848	6.8265	7.2225	6.8265	7.1891	7.1891	6.8265	6.9615	7.0848	6.9824	6.9824	6.8949	6.9403	7.3235	6.8265	6.8265	6.7899	7.008	6.6329	7.133	6.9403	7.0848	6.8603	6.9824	6.6707	6.7417	6.4755	6.6329	6.7417	6.3553	6.4413	7.2897	6.7116	6.9403	7.0592	7.2551	6.8949	7.0332	7.0848	6.8603	7.3235	7.0848	6.8083	7.1891	7.1891	6.9403	6.8949	7.4466	6.8265
FBN1	7.4034	5.044	7.5941	7.2551	7.5941	7.0848	5.8924	7.0848	6.233	6.3876	5.9651	5.7423	7.5941	6.7731	7.4886	6.3776	7.7023	6.9824	5.9355	7.1891	7.2551	6.6959	5.0507	3.7485	7.0332	5.943	5.8487	7.7023	6.8777	6.027	7.7023	7.7023	7.2551	6.8777	7.0848	7.133	6.6959	6.598	6.4305	5.3959	7.2551	7.8071	5.5791	7.8071	7.3235	6.3553	7.9645	7.3235	7.5941	7.7023	7.0332	7.5941	6.7731	5.7766	6.3154	6.4413	7.0848	7.5941	7.1891	6.2726	7.1613	5.8787	6.5336	6.7561	6.047	7.2551	7.133	7.0332	7.2551	6.3341	4.8595	6.7561	7.2551	7.0332	7.2551	7.2897	7.7023	6.6959	6.1412	7.8071	6.6707	7.8071	6.5336	7.9645	7.8071	7.4886	6.6219	7.4034	7.2551	8.1871	6.7561	7.4886	7.9645	7.7557	6.9178	7.8071	8.1871	7.2225	4.8826	6.8777
FN1	6.8083	5.5977	7.9645	7.5941	7.7023	7.9645	8.4007	8.1871	6.4622	6.4994	8.1871	7.8071	7.4886	7.8071	7.0592	7.7023	7.9645	7.9645	7.0332	8.1871	7.3235	7.7023	5.6395	6.4197	8.6771	6.598	6.2026	8.4007	8.1871	7.4886	8.1871	7.4886	7.5941	7.4034	7.8071	8.6771	7.8071	8.1871	7.008	6.1318	7.5941	7.5941	7.1891	7.3235	7.7023	8.4007	7.2551	7.5941	8.1871	7.9645	7.7023	7.8071	7.5941	7.4034	7.4034	7.7023	7.5941	7.3235	7.4886	7.9645	7.4034	7.8071	7.4886	7.8071	7.8071	7.4886	7.0848	7.8071	7.9645	7.0848	6.9403	8.6771	8.6771	8.6771	7.5941	7.5941	8.1871	7.7023	7.5941	7.5941	7.4886	7.4886	5.6395	7.8071	7.5941	8.6771	7.1891	7.5423	7.5941	7.9645	8.1871	8.4007	7.7023	8.6771	8.6771	6.9178	7.7023	7.5941	7.4466	7.5941
