Gene	01CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	01CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	01CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	02CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	02CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	02CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	03CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	03CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	03CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	04CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	04CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	04CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	05CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	05CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	05CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	06CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	06CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	06CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	07CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	07CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	07CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	08CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	08CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	08CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	09CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	09CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	09CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	10CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	10CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	10CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	11CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	11CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	11CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	12CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	12CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	12CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	Spectral Counts	Distinct Peptides	Unshared Peptides	NCBIGeneID	Authority	Description	Organism	Chromosome	Locus	Proteins	Assays
A1BG	99	32	32	118	35	35	119	48	48	92	28	28	144	40	40	133	43	43	92	36	36	154	54	54	115	31	31	132	44	44	145	42	42	101	38	38	1444	89	89	1	HGNC:5	alpha-1-B glycoprotein	Homo sapiens	19	19q13.43	M0R009;NP_570602.2;P04217;P04217-2	non-CPTAC-1064
A2M	593	179	152	691	183	161	452	161	139	460	156	134	498	128	108	554	177	154	529	172	149	636	199	171	500	157	135	656	191	171	613	186	161	615	167	145	6797	319	280	2	HGNC:7	alpha-2-macroglobulin	Homo sapiens	12	12p13.31	F5H1E8;F8W7L3;H0YFH1;NP_000005.2;NP_001334352.1;NP_001334353.1;NP_001334354.1;P01023;XP_006719119.1	non-CPTAC-1068
A2ML1	2	1	0	2	2	1	21	16	15	4	3	2	3	2	1	21	16	15	3	1	0	1	1	0	3	2	1	16	14	13	4	3	2	2	2	2	82	31	30	144568	HGNC:23336	alpha-2-macroglobulin like 1	Homo sapiens	12	12p13.31	A8K2U0;A8K2U0-2;F5GXP1;H0YGG5;H0YH14;NP_001269353.1;NP_653271.2;XP_011518868.1;XP_011518869.1;XP_016874357.1;XP_016874358.1;XP_016874359.1	
AAAS	11	10	10	10	8	8	13	11	11	14	10	10	11	10	10	17	12	12	17	13	13	15	12	12	9	6	6	10	9	9	12	8	8	16	12	12	155	26	26	8086	HGNC:13666	aladin WD repeat nucleoporin	Homo sapiens	12	12q13.13	F8VUB6;F8VZ44;H3BU82;NP_001166937.1;NP_056480.1;Q9NRG9;Q9NRG9-2;XP_011537080.1;XP_011537082.1	
AACS	8	7	7	9	8	8	11	9	9	14	11	11	13	11	11	15	12	12	16	12	12	11	9	9	9	7	7	8	8	8	13	11	11	17	15	15	144	23	23	65985	HGNC:21298	acetoacetyl-CoA synthetase	Homo sapiens	12	12q24.31	E7EW25;NP_001306768.1;NP_001306769.1;NP_076417.2;Q86V21;Q86V21-2;Q86V21-3;XP_011536994.1	
AAGAB	7	5	5	6	5	5	7	6	6	6	5	5	4	3	3	6	4	4	7	6	6	4	3	3	4	4	4	6	6	6	3	3	3	8	6	6	68	9	9	79719	HGNC:25662	alpha and gamma adaptin binding protein	Homo sapiens	15	15q23	H0YL49;NP_001258814.1;NP_001258815.1;NP_078942.3;Q6PD74;Q6PD74-2;XP_011520322.1	
AAK1	23	18	16	28	20	18	20	13	12	25	17	14	24	15	13	24	21	19	23	17	15	23	18	16	26	17	15	24	16	14	25	22	20	32	23	21	297	33	30	22848	HGNC:19679	AP2 associated kinase 1	Homo sapiens	2	2p13.3	A0A096LNZ0;A0A096LP25;A0A096LP60;E9PG46;NP_055726.3;Q2M2I8;Q2M2I8-2	
AAMDC	19	12	12	16	9	9	22	10	10	22	10	10	24	13	13	16	10	10	21	11	11	15	14	14	22	11	11	16	11	11	13	8	8	29	15	15	235	18	18	28971	HGNC:30205	adipogenesis associated Mth938 domain containing	Homo sapiens	11	11q14.1	E9PIQ4;E9PJP1;E9PLK9;E9PNP3;E9PR47;K4DI89;NP_001303886.1;NP_001303887.1;NP_001303889.1;NP_001303890.1;NP_001303891.1;NP_078960.1;Q9H7C9;Q9H7C9-2;Q9H7C9-3;XP_011543270.1;XP_011543271.1;XP_016873109.1	
AAMP	8	5	5	14	11	11	14	8	8	17	14	14	14	10	10	16	10	10	15	9	9	14	10	10	17	12	12	17	10	10	17	11	11	24	15	15	187	19	19	14	HGNC:18	angio associated migratory cell protein	Homo sapiens	2	2q35	C9JEH3;C9JG97;C9JTS3;H7C0R2;NP_001078.2;NP_001289474.1;Q13685	
AAR2	5	4	4	7	7	7	8	7	7	11	9	9	10	7	7	8	6	6	10	8	8	9	7	7	5	4	4	6	5	5	8	7	7	10	9	9	97	16	16	25980	HGNC:15886	AAR2 splicing factor homolog	Homo sapiens	20	20q11.23	A2A2Q9;NP_001258803.1;NP_056326.2;Q9Y312;XP_006723833.1;XP_011527064.1;XP_011527065.1	
